burden_quartile,model_family,model,n,obs_ftv_ml_mean,det_ftv_mae_ml,mc_mean_ftv_mae_ml,raw_90_coverage,conformal_90_coverage,raw_width90_ml,conformal_width90_ml,crps
Q1 lowest,Hybrid residual MC,Hybrid graph+scalar MC,190,3.332349634032672,2.117064842127073,2.165297884228673,0.9736842105263158,0.9736842105263158,18.219803545482712,19.176708332171106,1.9337969032404476
Q1 lowest,Temporal scalar residual MC,Log-ridge temporal scalar MC,190,3.332349634032672,1.8099042774962641,2.4356336261397105,0.9526315789473684,0.9526315789473684,20.12534357714876,21.074128438303834,1.9481753624562206
Q1 lowest,Temporal scalar residual MC,Ridge temporal scalar MC,190,3.332349634032672,2.4537836170645306,2.5662843432705165,0.968421052631579,0.9736842105263158,19.028435330153346,20.736981831037998,2.1171175261340545
Q1 lowest,Scalar residual MC,Last-observed scalar MC,190,3.332349634032672,2.312561449957215,2.8755364719090415,0.9736842105263158,0.9736842105263158,18.630183787059316,19.19836517797772,2.000587475115661
Q1 lowest,Graph residual MC,Graph retained,190,3.332349634032672,1.896810739211205,3.76302039331714,0.9631578947368421,0.968421052631579,17.054274989520238,20.22825178562984,1.9792963430999728
Q1 lowest,Temporal scalar residual MC,Kernel temporal scalar MC,190,3.332349634032672,1.4187986927945317,11.567372183040787,0.9421052631578948,0.9421052631578948,54.29060714846247,55.08519618191665,2.7261585073561427
Q1 lowest,Graph residual MC,Graph baseline,190,3.332349634032672,1.7300633844366093,14.43867112048565,0.3894736842105263,0.8052631578947368,48.44035775566916,51.082812632542,5.698825630694517
Q2,Temporal scalar residual MC,Log-ridge temporal scalar MC,189,8.80053755081574,1.7357409976786555,1.8631975312721232,0.9894179894179894,0.9894179894179894,20.106417581235974,21.026005960419866,1.4560133723162831
Q2,Hybrid residual MC,Hybrid graph+scalar MC,189,8.80053755081574,2.049090890023907,2.0424748026418085,0.9894179894179894,0.9894179894179894,18.199129999587957,19.117118147826535,1.5987841349661243
Q2,Temporal scalar residual MC,Ridge temporal scalar MC,189,8.80053755081574,2.232845516642062,2.2143258434770763,0.9894179894179894,0.9894179894179894,19.003097789559497,20.67424445472693,1.7313812559527355
Q2,Scalar residual MC,Last-observed scalar MC,189,8.80053755081574,2.2524555836515945,2.421641025584468,0.9894179894179894,0.9894179894179894,18.594668780374594,19.112722687930322,1.6215080697744209
Q2,Graph residual MC,Graph retained,189,8.80053755081574,1.9211470060448685,3.0063886760505683,0.9682539682539683,0.9735449735449735,19.651219986373178,22.82544489440259,1.732922971613325
Q2,Temporal scalar residual MC,Kernel temporal scalar MC,189,8.80053755081574,1.7702163512076003,10.01089253362101,0.9523809523809523,0.9576719576719577,54.15897574738813,54.922920088040144,2.189826181929816
Q2,Graph residual MC,Graph baseline,189,8.80053755081574,3.6273386635213494,13.376370572886891,0.8465608465608465,0.9365079365079365,50.47517066000638,53.11803995335628,4.77136502571409
Q3,Temporal scalar residual MC,Log-ridge temporal scalar MC,189,18.319278162761183,3.0669430468772374,2.975323893345205,0.9470899470899471,0.9523809523809523,20.136521396139543,21.091715455460243,2.2307871122141583
Q3,Temporal scalar residual MC,Ridge temporal scalar MC,189,18.319278162761183,3.295712507929153,3.319379191242248,0.9470899470899471,0.9523809523809523,19.040103578633605,20.738305799250064,2.4636707548971253
Q3,Hybrid residual MC,Hybrid graph+scalar MC,189,18.319278162761183,3.345561979901025,3.347129719638329,0.9629629629629629,0.9629629629629629,18.303939411034936,19.259200779041038,2.500786902159107
Q3,Scalar residual MC,Last-observed scalar MC,189,18.319278162761183,3.780647314619273,3.4499309245334255,0.9629629629629629,0.9629629629629629,18.582838196206335,19.154025837870343,2.5298043045474046
Q3,Graph residual MC,Graph retained,189,18.319278162761183,3.231070017265686,3.990625441577283,0.9153439153439153,0.9470899470899471,19.834391411289694,23.00733530668966,2.7021134482779003
Q3,Temporal scalar residual MC,Kernel temporal scalar MC,189,18.319278162761183,4.121740687238739,8.224417314557115,0.91005291005291,0.9153439153439153,54.66641029483913,55.479949645985684,3.004005603354976
Q3,Graph residual MC,Graph baseline,189,18.319278162761183,7.530592991474211,12.053988366590323,0.9417989417989417,0.9735449735449735,55.84666733808409,58.489653579007616,4.312058368099096
Q4 highest,Hybrid residual MC,Hybrid graph+scalar MC,190,69.19253795874017,10.395328356425882,10.40898712207065,0.6631578947368421,0.6684210526315789,18.075339571126484,18.875444852857765,8.776268520577503
Q4 highest,Scalar residual MC,Last-observed scalar MC,190,69.19253795874017,10.873220521415965,10.504172082718439,0.6684210526315789,0.6736842105263158,18.586642314515647,19.04911553968179,8.862963797973748
Q4 highest,Temporal scalar residual MC,Ridge temporal scalar MC,190,69.19253795874017,10.620232231383584,10.679510591610669,0.6578947368421053,0.6789473684210526,18.858161224029683,20.397494461896283,9.030470466953664
Q4 highest,Graph residual MC,Graph retained,190,69.19253795874017,11.44525695881727,11.47597132174568,0.6631578947368421,0.7157894736842105,20.287958469083772,23.449702268799395,9.557342918963078
Q4 highest,Temporal scalar residual MC,Log-ridge temporal scalar MC,190,69.19253795874017,12.628354244476013,12.268943173970323,0.6947368421052632,0.7052631578947368,20.08726811785605,20.987022557303433,10.547404604271945
Q4 highest,Graph residual MC,Graph baseline,190,69.19253795874017,38.54804645279426,21.15192196997329,0.8894736842105263,0.8894736842105263,72.68610466541757,75.32882544414203,18.593775851328886
Q4 highest,Temporal scalar residual MC,Kernel temporal scalar MC,190,69.19253795874017,40.31342866547823,33.395945322007194,0.7789473684210526,0.7842105263157895,53.71778284418649,54.48891956761654,32.560434454311384
