burden_tail,model_family,model,n,obs_ftv_ml_mean,det_ftv_mae_ml,mc_mean_ftv_mae_ml,raw_90_coverage,conformal_90_coverage,raw_width90_ml,conformal_width90_ml,crps
below_top_decile_lt_58.73_ml,Temporal scalar residual MC,Log-ridge temporal scalar MC,682,14.898394040385455,2.8199654833746273,2.9365118377798285,0.9501466275659824,0.9545454545454546,20.12311134156942,21.067514880868266,2.2577841738294344
below_top_decile_lt_58.73_ml,Hybrid residual MC,Hybrid graph+scalar MC,682,14.898394040385455,2.93813832027346,2.9477499279010795,0.9516129032258065,0.9530791788856305,18.21603956723503,19.139391766733286,2.31943171890948
below_top_decile_lt_58.73_ml,Temporal scalar residual MC,Ridge temporal scalar MC,682,14.898394040385455,3.0139144778052054,3.0507920739865457,0.9486803519061584,0.9574780058651027,19.000445701042754,20.672623540969468,2.348241408718853
below_top_decile_lt_58.73_ml,Scalar residual MC,Last-observed scalar MC,682,14.898394040385455,3.2458182658831682,3.2968845657419346,0.9545454545454546,0.9545454545454546,18.60842620311593,19.156922935602463,2.3599558496339528
below_top_decile_lt_58.73_ml,Graph residual MC,Graph retained,682,14.898394040385455,2.8222997554130362,3.9681353344319517,0.9237536656891495,0.9442815249266863,19.130429456158577,22.30323736136152,2.487759419198525
below_top_decile_lt_58.73_ml,Temporal scalar residual MC,Kernel temporal scalar MC,682,14.898394040385455,3.969485630812558,9.459205855732353,0.9398826979472141,0.9442815249266863,54.275604148506375,55.07216655734267,3.4005990657512033
below_top_decile_lt_58.73_ml,Graph residual MC,Graph baseline,682,14.898394040385455,6.582044406174053,12.216340283685726,0.7712609970674487,0.9208211143695014,53.826829883557174,56.46964964444083,4.935010433287278
top_5pct_ge_84.88_ml,Scalar residual MC,Last-observed scalar MC,38,159.87962181158332,26.869822212294245,26.823534641545432,0.21052631578947367,0.21052631578947367,18.523149186751716,18.853487204727532,24.19252054336308
top_5pct_ge_84.88_ml,Hybrid residual MC,Hybrid graph+scalar MC,38,159.87962181158332,27.91273550757068,28.057647484206875,0.13157894736842105,0.13157894736842105,17.976688348783583,18.644897569171487,25.275176790495188
top_5pct_ge_84.88_ml,Temporal scalar residual MC,Ridge temporal scalar MC,38,159.87962181158332,29.636360750987887,29.832874102016174,0.18421052631578946,0.18421052631578946,18.80309402309374,20.24243457893804,27.12419299077434
top_5pct_ge_84.88_ml,Graph residual MC,Graph retained,38,159.87962181158332,33.72998688301122,31.57036245517743,0.23684210526315788,0.2894736842105263,18.961034201991538,22.10213482029232,28.617566378243804
top_5pct_ge_84.88_ml,Temporal scalar residual MC,Log-ridge temporal scalar MC,38,159.87962181158332,35.116831071411816,34.92761162521681,0.2894736842105263,0.2894736842105263,20.054403810695504,20.91262945060767,32.22890830804308
top_5pct_ge_84.88_ml,Graph residual MC,Graph baseline,38,159.87962181158332,103.0226516724811,73.77572855521802,0.4473684210526316,0.4473684210526316,89.48461053482417,92.12593532882765,64.9712027066123
top_5pct_ge_84.88_ml,Temporal scalar residual MC,Kernel temporal scalar MC,38,159.87962181158332,133.1166394868235,122.72662669937955,0.07894736842105263,0.07894736842105263,53.0393904146188,53.734190503250424,117.35512035951685
top_decile_ge_58.73_ml,Hybrid residual MC,Hybrid graph+scalar MC,76,115.0614352230263,18.330707443610184,18.386630987885276,0.40789473684210525,0.40789473684210525,18.050241130383995,18.815371018702034,16.156301634813342
top_decile_ge_58.73_ml,Scalar residual MC,Last-observed scalar MC,76,115.0614352230263,18.84088111844444,18.46574276467768,0.39473684210526316,0.40789473684210525,18.510514570368098,18.873886390141497,16.30503804188759
top_decile_ge_58.73_ml,Temporal scalar residual MC,Ridge temporal scalar MC,76,115.0614352230263,19.387773736657252,19.499093351717807,0.3684210526315789,0.3684210526315789,18.819926786475175,20.31306893049983,17.229025105145165
top_decile_ge_58.73_ml,Graph residual MC,Graph retained,76,115.0614352230263,20.841492721571242,19.88915521067117,0.4605263157894737,0.5131578947368421,19.87963187095914,23.031563788150425,17.546466042868786
top_decile_ge_58.73_ml,Temporal scalar residual MC,Log-ridge temporal scalar MC,76,115.0614352230263,22.73368347281974,22.44275089352287,0.40789473684210525,0.40789473684210525,20.030917813480816,20.839774842296855,20.146798403985926
top_decile_ge_58.73_ml,Graph residual MC,Graph baseline,76,115.0614352230263,69.37810087970159,42.59219017466746,0.7236842105263158,0.7236842105263158,84.19680606657346,86.83900335102756,39.03531825675283
top_decile_ge_58.73_ml,Temporal scalar residual MC,Kernel temporal scalar MC,76,115.0614352230263,83.36202471215813,72.87270386388575,0.5,0.5,53.60039514872243,54.28956289519064,70.61681983280705
