model,bucket,nominal,empirical_coverage,mean_width_ml,n
Graph baseline,T0->T3,0.5,0.3403693931398417,14.606951593723439,758
Graph baseline,T0->T3,0.6,0.4340369393139842,19.187516330061115,758
Graph baseline,T0->T3,0.7,0.5197889182058048,26.227471430500472,758
Graph baseline,T0->T3,0.8,0.6319261213720316,36.910152470470834,758
Graph baseline,T0->T3,0.9,0.7664907651715039,56.87184068818678,758
Graph baseline,T0->T3,0.95,0.8746701846965699,95.3219331051605,758
Graph baseline,T1->T3,0.5,0.3562005277044855,15.390505642990947,758
Graph baseline,T1->T3,0.6,0.4261213720316623,20.529059869778784,758
Graph baseline,T1->T3,0.7,0.5184696569920845,28.135714809922302,758
Graph baseline,T1->T3,0.8,0.6319261213720316,38.64024954832007,758
Graph baseline,T1->T3,0.9,0.7638522427440633,57.93882615620298,758
Graph baseline,T1->T3,0.95,0.8865435356200527,93.2030746180054,758
Graph baseline,T2->T3,0.5,0.35883905013192613,15.906473693488095,758
Graph baseline,T2->T3,0.6,0.4577836411609499,21.03083209865084,758
Graph baseline,T2->T3,0.7,0.5567282321899736,28.959341025542784,758
Graph baseline,T2->T3,0.8,0.6569920844327177,39.804957930520665,758
Graph baseline,T2->T3,0.9,0.7757255936675461,57.90978281932022,758
Graph baseline,T2->T3,0.95,0.862796833773087,82.74768717293597,758
Graph retained,T0->T3,0.5,0.4815303430079156,3.978757659394037,758
Graph retained,T0->T3,0.6,0.5712401055408971,5.292216673287752,758
Graph retained,T0->T3,0.7,0.6635883905013192,7.0450445068635235,758
Graph retained,T0->T3,0.8,0.7704485488126649,10.003684799294161,758
Graph retained,T0->T3,0.9,0.8773087071240105,19.20554737637605,758
Graph retained,T0->T3,0.95,0.924802110817942,34.323707747484896,758
Graph retained,T1->T3,0.5,0.4656992084432718,4.268884914870358,758
Graph retained,T1->T3,0.6,0.5606860158311345,5.769471502051277,758
Graph retained,T1->T3,0.7,0.6741424802110818,7.826347195874705,758
Graph retained,T1->T3,0.8,0.7664907651715039,11.265276410390799,758
Graph retained,T1->T3,0.9,0.8654353562005277,20.20977841660646,758
Graph retained,T1->T3,0.95,0.9261213720316622,34.42317540141214,758
Graph retained,T2->T3,0.5,0.4287598944591029,4.045219816176309,758
Graph retained,T2->T3,0.6,0.521108179419525,5.565740770278295,758
Graph retained,T2->T3,0.7,0.6345646437994723,7.707823288800949,758
Graph retained,T2->T3,0.8,0.7427440633245382,11.32240878301468,758
Graph retained,T2->T3,0.9,0.8601583113456465,19.606363315331592,758
Graph retained,T2->T3,0.95,0.9234828496042217,32.319330007876225,758
