threshold_ml,probability_cutoff,net_benefit_model,net_benefit_treat_all,net_benefit_treat_none,event_rate,n
0.1,0.05,-0.015136786557422585,-0.048465490904041106,0.0,0.00395778364116095,758
0.1,0.1,-0.020082087364409265,-0.10671357373204339,0.0,0.00395778364116095,758
0.1,0.15,-0.017460810181592425,-0.17181437218686949,0.0,0.00395778364116095,758
0.1,0.2,-0.011213720316622692,-0.2450527704485488,0.0,0.00395778364116095,758
0.1,0.25,-0.007915567282321899,-0.32805628847845203,0.0,0.00395778364116095,758
0.1,0.3,-0.006219374293252922,-0.4229174519411987,0.0,0.00395778364116095,758
0.1,0.35,-0.0028414856910899127,-0.53237264055206,0.0,0.00395778364116095,758
0.1,0.4,0.0,-0.6600703605980651,0.0,0.00395778364116095,758
0.1,0.45,0.0,-0.8109858479251618,0.0,0.00395778364116095,758
0.1,0.5,0.0,-0.9920844327176781,0.0,0.00395778364116095,758
0.1,0.55,0.0,-1.213427147464087,0.0,0.00395778364116095,758
0.1,0.6,0.0,-1.4901055408970976,0.0,0.00395778364116095,758
0.1,0.65,0.0,-1.8458349038823973,0.0,0.00395778364116095,758
0.1,0.7,0.0,-2.32014072119613,0.0,0.00395778364116095,758
0.1,0.75,0.0,-2.984168865435356,0.0,0.00395778364116095,758
0.1,0.8,0.0,-3.980211081794196,0.0,0.00395778364116095,758
0.1,0.85,0.0,-5.6402814423922605,0.0,0.00395778364116095,758
0.1,0.9,0.0,-8.960422163588392,0.0,0.00395778364116095,758
0.1,0.95,0.0,-18.920844327176763,0.0,0.00395778364116095,758
1.0,0.05,-0.008748784890987365,-0.0373559227885016,0.0,0.014511873350923483,758
1.0,0.1,-0.019055995309293465,-0.0949868073878628,0.0,0.014511873350923483,758
1.0,0.15,-0.020952972217910912,-0.15939779605773707,0.0,0.014511873350923483,758
1.0,0.2,-0.019788918205804747,-0.23186015831134563,0.0,0.014511873350923483,758
1.0,0.25,-0.016710642040457344,-0.31398416886543534,0.0,0.014511873350923483,758
1.0,0.3,-0.01130795326045986,-0.4078401809272522,0.0,0.014511873350923483,758
1.0,0.35,-0.008828901968743655,-0.5161355794601177,0.0,0.014511873350923483,758
1.0,0.4,-0.0043975373790677225,-0.6424802110817942,0.0,0.014511873350923483,758
1.0,0.45,-0.0016790597265531303,-0.7917965939074117,0.0,0.014511873350923483,758
1.0,0.5,-0.002638522427440633,-0.970976253298153,0.0,0.014511873350923483,758
1.0,0.55,0.0,-1.1899736147757258,0.0,0.014511873350923483,758
1.0,0.6,0.0,-1.463720316622691,0.0,0.014511873350923483,758
1.0,0.65,0.0,-1.8156803618545045,0.0,0.014511873350923483,758
1.0,0.7,0.0,-2.2849604221635884,0.0,0.014511873350923483,758
1.0,0.75,0.0,-2.9419525065963064,0.0,0.014511873350923483,758
1.0,0.8,0.0,-3.9274406332453835,0.0,0.014511873350923483,758
1.0,0.85,0.0,-5.569920844327176,0.0,0.014511873350923483,758
1.0,0.9,0.0,-8.854881266490768,0.0,0.014511873350923483,758
1.0,0.95,0.0,-18.709762532981514,0.0,0.014511873350923483,758
5.0,0.05,0.18907096236633802,0.1681710873489793,0.0,0.20976253298153033,758
5.0,0.1,0.1805922017003811,0.12195836997947815,0.0,0.20976253298153033,758
5.0,0.15,0.17546174142480211,0.07030886233121214,0.0,0.20976253298153033,758
5.0,0.2,0.16985488126649076,0.01220316622691292,0.0,0.20976253298153033,758
5.0,0.25,0.16402814423922601,-0.053649956024626216,0.0,0.20976253298153033,758
5.0,0.3,0.1613267998492273,-0.1289106671692424,0.0,0.20976253298153033,758
5.0,0.35,0.15455652526892633,-0.2157499492591841,0.0,0.20976253298153033,758
5.0,0.4,0.14907651715039577,-0.31706244503078285,0.0,0.20976253298153033,758
5.0,0.45,0.14140081554329575,-0.4367953945790357,0.0,0.20976253298153033,758
5.0,0.5,0.1345646437994723,-0.5804749340369393,0.0,0.20976253298153033,758
5.0,0.55,0.1284080914687775,-0.7560832600410439,0.0,0.20976253298153033,758
5.0,0.6,0.11279683377308708,-0.9755936675461739,0.0,0.20976253298153033,758
5.0,0.65,0.09932152280437241,-1.257821334338485,0.0,0.20976253298153033,758
5.0,0.7,0.079155672823219,-1.6341248900615652,0.0,0.20976253298153033,758
5.0,0.75,0.06992084432717678,-2.1609498680738786,0.0,0.20976253298153033,758
5.0,0.8,0.0395778364116095,-2.951187335092349,0.0,0.20976253298153033,758
5.0,0.85,0.0079155672823219,-4.2682497801231305,0.0,0.20976253298153033,758
5.0,0.9,0.0013192612137203166,-6.902374670184698,0.0,0.20976253298153033,758
5.0,0.95,0.0,-14.804749340369378,0.0,0.20976253298153033,758
