bucket,metric,direction,n,baseline_mean,retained_mean,improvement_mean,improvement_ci95_low,improvement_ci95_high
T0->T3,det_ftv_mae_ml,decrease,758,12.878218933862831,5.881089204826843,6.997129729035987,6.0711442292712,7.950144977714239
T0->T3,mc_mean_ftv_mae_ml,decrease,758,15.261940008902894,7.608714231759333,7.653225777143559,7.111986189277799,8.200905737489718
T0->T3,mc_median_ftv_mae_ml,decrease,758,10.6942633736246,6.080481227480391,4.613782146144212,3.946775906602024,5.305690110788916
T0->T3,raw_90_coverage,increase,758,0.7664907651715039,0.8759894459102903,0.10949868073878628,0.07519788918205805,0.14511873350923482
T0->T3,raw_90_width_ml,decrease,758,56.87184068818678,24.423730249919142,32.44811043826763,31.29173526282964,33.64344403942112
T0->T3,conformal_90_width_ml,decrease,758,59.51459803718567,27.948916634989093,31.565681402196578,30.40520907786222,32.80454428904363
T0->T3,crps,decrease,758,8.354038658331318,5.156204494159763,3.1978341641715553,2.809193314432042,3.6073376680634777
T0->T3,mc_alive_abs_err,decrease,758,40.783022757255935,2.6918494393139842,38.09117331794195,34.133851675874006,42.07323110776715
T0->T3,swd_mm,decrease,758,1.320410896602223,1.20739733271003,0.11301356389219305,0.10513314745908083,0.12096069199409526
T0->T3,chamfer_mm,decrease,758,3.6561073841503404,3.4851397698441113,0.17096761430622956,0.1605855427816833,0.1810422418304413
T0->T3,dice,increase,758,0.04737038733276247,0.051402740422183985,0.004032353089421515,0.003697901718614266,0.004380180867896822
T1->T3,det_ftv_mae_ml,decrease,758,13.171908347853684,5.588915532068358,7.582992815785326,6.619467740666896,8.604151602491159
T1->T3,mc_mean_ftv_mae_ml,decrease,758,14.875411051154453,7.184508866397262,7.6909021847571895,7.16743847628985,8.229913460233773
T1->T3,mc_median_ftv_mae_ml,decrease,758,10.601123317377347,5.834238136799761,4.766885180577587,4.082086112227259,5.482186591885517
T1->T3,raw_90_coverage,increase,758,0.7638522427440633,0.8575197889182058,0.09366754617414248,0.05804749340369393,0.12928759894459102
T1->T3,raw_90_width_ml,decrease,758,57.93882615620298,24.47034989123393,33.468476264969055,32.32522540175518,34.6607555200035
T1->T3,conformal_90_width_ml,decrease,758,60.14370894480905,29.613435182696062,30.53027376211299,29.366187365076485,31.73009361433027
T1->T3,crps,decrease,758,8.098104932427637,4.888666915505546,3.209438016922091,2.7960680942420946,3.613630588807561
T1->T3,mc_alive_abs_err,decrease,758,41.311474480540895,2.645087813324538,38.66638666721636,34.54903567673978,42.83620972645942
T1->T3,swd_mm,decrease,758,1.8138833046639056,1.705538512829225,0.10834479183468078,0.09072199190633883,0.1260192601490222
T1->T3,chamfer_mm,decrease,758,4.421017345552866,4.243271978930488,0.17774536662237866,0.15344169007283884,0.20236202164768338
T1->T3,dice,increase,758,0.03409189682102142,0.03750489224770606,0.00341299542668464,0.00313227344702665,0.003684074018301538
T2->T3,det_ftv_mae_ml,decrease,758,13.046735431597394,4.64542312546993,8.401312306127462,7.401248156163829,9.53195713290849
T2->T3,mc_mean_ftv_mae_ml,decrease,758,13.802116891868737,5.8024808441205336,7.999636047748204,7.464680279680968,8.587863569481298
T2->T3,mc_median_ftv_mae_ml,decrease,758,9.925943481376336,4.857974191821739,5.067969289554598,4.381032318288081,5.81845427964907
T2->T3,raw_90_coverage,increase,758,0.7757255936675461,0.8733509234828496,0.09762532981530343,0.06068601583113457,0.1345646437994723
T2->T3,raw_90_width_ml,decrease,758,57.90978281932022,20.971494792069304,36.93828802725091,35.77123084786651,38.13170990902747
T2->T3,conformal_90_width_ml,decrease,758,60.24950412542999,24.192992685026333,36.05651144040365,34.942142931631814,37.247728726648496
T2->T3,crps,decrease,758,7.48972825984209,4.024771280863164,3.4649569789789263,3.0614730629303497,3.900933851980563
T2->T3,mc_alive_abs_err,decrease,758,41.641274323878626,2.6647942777044853,38.976480046174146,34.917280775890504,43.11316413980046
T2->T3,swd_mm,decrease,758,2.9657002861927038,2.8804170062166454,0.0852832799760584,0.045673236672463695,0.12504635231373099
T2->T3,chamfer_mm,decrease,758,5.737823310736217,5.5863518764796884,0.15147143425652926,0.09751565826884107,0.2054695658847171
T2->T3,dice,increase,758,0.035473934392738,0.03890301326831874,0.003429078875580738,0.0031372237771570355,0.0037232694804039622
