model,bucket,pit_bin,n,fraction
Graph baseline,T0->T3,0.0-0.1,246,0.3245382585751979
Graph baseline,T0->T3,0.1-0.2,121,0.15963060686015831
Graph baseline,T0->T3,0.2-0.3,82,0.10817941952506596
Graph baseline,T0->T3,0.3-0.4,64,0.08443271767810026
Graph baseline,T0->T3,0.4-0.5,65,0.08575197889182058
Graph baseline,T0->T3,0.5-0.6,52,0.06860158311345646
Graph baseline,T0->T3,0.6-0.7,25,0.032981530343007916
Graph baseline,T0->T3,0.7-0.8,41,0.05408970976253298
Graph baseline,T0->T3,0.8-0.9,35,0.04617414248021108
Graph baseline,T0->T3,0.9-1.0,27,0.03562005277044855
Graph retained,T0->T3,0.0-0.1,108,0.1424802110817942
Graph retained,T0->T3,0.1-0.2,104,0.13720316622691292
Graph retained,T0->T3,0.2-0.3,84,0.11081794195250659
Graph retained,T0->T3,0.3-0.4,81,0.10686015831134564
Graph retained,T0->T3,0.4-0.5,87,0.11477572559366754
Graph retained,T0->T3,0.5-0.6,64,0.08443271767810026
Graph retained,T0->T3,0.6-0.7,63,0.08311345646437995
Graph retained,T0->T3,0.7-0.8,58,0.07651715039577836
Graph retained,T0->T3,0.8-0.9,49,0.06464379947229551
Graph retained,T0->T3,0.9-1.0,60,0.079155672823219
