bucket,model_family,paper_label,n_patients,det_ftv_mae_ml,mc_mean_ftv_mae_ml,raw_90_coverage,ftv_raw_width90_ml,crps_ftv
T0->T3,Hybrid residual MC,Hybrid graph+scalar MC,758,4.481456596491918,4.495711617292635,0.8970976253298153,18.19941597726052,3.7067695996597356
T0->T3,Temporal scalar residual MC,Ridge temporal scalar MC,758,4.655620683178234,4.699962122941131,0.8905013192612137,18.98234617926553,3.840246106513576
T0->T3,Scalar residual MC,Last-observed scalar MC,758,4.809439343448678,4.817772722891165,0.8984168865435356,18.598609205637253,3.758143510070993
T0->T3,Temporal scalar residual MC,Log-ridge temporal scalar MC,758,4.816591561472026,4.892282508276493,0.895778364116095,20.11386766329141,4.051405653370191
T0->T3,Graph residual MC,Graph retained,758,4.628973456505415,5.564438118856992,0.8773087071240105,19.205547376376046,3.997603355081031
T0->T3,Graph residual MC,Graph baseline,758,12.878218933862831,15.261940008902894,0.7664907651715039,56.87184068818678,8.354038658331318
T0->T3,Temporal scalar residual MC,Kernel temporal scalar MC,758,11.929687438440872,15.81728745021739,0.895778364116095,54.20790509311907,10.139956293054954
T1->T3,Hybrid residual MC,Hybrid graph+scalar MC,758,4.410310704782569,4.405962211068256,0.895778364116095,17.926716383365722,3.69854240530341
T1->T3,Temporal scalar residual MC,Ridge temporal scalar MC,758,4.784659360916168,4.814165910512518,0.8984168865435356,19.150960996057236,3.9194896743722474
T1->T3,Temporal scalar residual MC,Log-ridge temporal scalar MC,758,4.873905298411701,4.9265876739433985,0.8931398416886543,19.768098773889346,4.094659941185582
T1->T3,Scalar residual MC,Last-observed scalar MC,758,5.657501300425006,5.641309834224639,0.8970976253298153,24.25007099398021,4.737608231552795
T1->T3,Graph residual MC,Graph retained,758,4.857391373935336,5.904416062107043,0.8654353562005277,20.209778416606458,4.184661091587692
T1->T3,Graph residual MC,Graph baseline,758,13.171908347853684,14.875411051154453,0.7638522427440633,57.93882615620298,8.098104932427637
T1->T3,Temporal scalar residual MC,Kernel temporal scalar MC,758,12.267570961076355,16.250673188587133,0.8970976253298153,56.64750214290831,10.452407628596994
T2->T3,Hybrid residual MC,Hybrid graph+scalar MC,758,4.229605976299294,4.232652690536085,0.8931398416886543,16.846222381656982,3.5277902087954383
T2->T3,Temporal scalar residual MC,Log-ridge temporal scalar MC,758,4.222742930880066,4.266427374252466,0.8970976253298153,17.44554796134637,3.5404097297551678
T2->T3,Temporal scalar residual MC,Ridge temporal scalar MC,758,4.51260491625457,4.5383061711911665,0.8970976253298153,17.18389339966204,3.7039698546124997
T2->T3,Scalar residual MC,Last-observed scalar MC,758,4.686863653716918,4.718150929926171,0.8970976253298153,20.583535898944454,3.9543075919838295
T2->T3,Graph residual MC,Graph retained,758,4.571684475165195,5.67527320225229,0.8601583113456465,19.606363315331585,3.943698060603129
T2->T3,Graph residual MC,Graph baseline,758,13.046735431597394,13.802116891868737,0.7757255936675461,57.90978281932022,7.48972825984209
T2->T3,Temporal scalar residual MC,Kernel temporal scalar MC,758,12.095665546380703,16.289824302277392,0.899736147757256,54.87778721862986,10.3457026172193
