subtype,model,model_display,n,mc_mean_ftv_mae_ml,mc_median_ftv_mae_ml,mc_sample_abs_err_ml,crps,raw_coverage90,raw_width90_ml,conformal_width90_ml,mc_swd_mm,mc_chamfer_mm,mc_dice
HR+/HER2+,hybrid_a50_bio_k8,Hybrid-bio k=8,128,4.90291977454915,3.730551788762036,6.803530614644143,3.1297210313334003,0.90625,19.588431596840792,22.760154527078328,1.2479076077138944,3.451481682018844,0.05533914531745235
HR+/HER2+,radial_bio_k16,radial_bio_k16,128,4.927601768271464,3.9394326438426677,6.857911741053606,3.289347954602618,0.8828125,20.491610583653266,23.875673094009063,1.2528946328370179,3.4727722476041656,0.05424792601379286
HR+/HER2+,radial_geo_k8,radial_geo_k8,128,4.943485087466532,3.928773266266,6.9062213164334265,3.2233692185883327,0.8828125,18.75561191992387,22.556035819094497,1.2491540240557277,3.4626013527754242,0.054899057626626044
HR+/HER2+,radial_bio_k8,Radial-bio k=8,128,4.973918193645078,3.8835027141628533,6.904191208686365,3.2343322913796273,0.8984375,19.629674520647242,22.872503787793743,1.2678693777341412,3.476971970275283,0.055061697413117235
HR+/HER2+,radial_bio_k4,radial_bio_k4,128,5.058419021008311,3.8794419828980615,7.08966243828549,3.207938482282586,0.8828125,20.359145747559815,23.50852980350496,1.2589871747761878,3.4779709952881652,0.05504430057580856
HR+/HER2-,radial_bio_k8,Radial-bio k=8,312,5.205515182488862,4.538898767454408,7.484350491854888,3.731942533969508,0.8653846153846154,20.10381348431649,23.34124427641834,1.1676653125495342,3.4356651958416378,0.05181434674517601
HR+/HER2-,hybrid_a50_bio_k8,Hybrid-bio k=8,312,5.235347252420384,4.589373591604415,7.365397250519223,3.770381261762433,0.8685897435897436,18.969353751650683,22.1397380852776,1.1681065657867036,3.4295031290340376,0.052483257403585865
HR+/HER2-,radial_geo_k8,radial_geo_k8,312,5.346270010298167,4.64365211237269,7.57066173921032,3.7774426493353483,0.8525641025641025,19.821093235810746,23.61008390478127,1.1725406072070599,3.4426417007770715,0.05127856513841255
HR+/HER2-,spatial_k4_bio,spatial_k4_bio,312,5.375635888680518,4.593642043397606,7.458682033448561,3.791533459256651,0.8621794871794872,19.63277537829248,23.181604309262756,1.180105475671828,3.444051258054327,0.05121395310553874
HR+/HER2-,hybrid_a75_bio_k8,hybrid_a75_bio_k8,312,5.405419074225104,4.61006783121531,7.445446872065547,3.7709654487735973,0.8621794871794872,19.518302789465668,22.85957223967939,1.1716102921391436,3.4362017157257836,0.05203393955294715
TNBC,radial_bio_k8,Radial-bio k=8,261,5.692170398971585,5.019929478645994,7.719188424940747,4.161305070579708,0.8659003831417624,19.879563705332213,23.119834184715,1.1594627549447871,3.465925768175729,0.05122753379184106
TNBC,radial_bio_k16,radial_bio_k16,261,5.74847395889203,5.174508588311615,8.053700779879753,4.321626379698159,0.8812260536398467,20.705639066657938,24.089101293061933,1.1660957102890577,3.473612795258804,0.05087047045128676
TNBC,hybrid_a50_bio_k8,Hybrid-bio k=8,261,5.85546550952978,5.10111571011978,7.999665542697603,4.255507646141935,0.8659003831417624,19.328561782227645,22.49887297580987,1.1531351610523903,3.4625886208833654,0.051829029231823066
TNBC,spatial_k4_bio,spatial_k4_bio,261,5.882414901029882,5.119717926677238,8.152597659728174,4.257362847863705,0.8735632183908046,19.388294492144446,22.93802563339133,1.1707028955476544,3.47860610145635,0.05117218968555613
TNBC,radial_geo_k8,radial_geo_k8,261,6.003328372493518,5.3708162099079555,8.182516043140302,4.4950330742581315,0.8812260536398467,19.678076656831514,23.47046190717518,1.1578843435408372,3.4722932780821494,0.05107437363849491
HR-/HER2+,radial_bio_k16,radial_bio_k16,57,7.41376733312713,6.610216053178245,9.565170960860117,5.798515819817214,0.9122807017543859,19.76450956037316,23.148945346714584,1.109035528435594,3.4973976639233784,0.05218971863748171
HR-/HER2+,hybrid_a50_bio_k8,Hybrid-bio k=8,57,7.51869337208555,6.796940102581356,9.981238054665805,6.009343891716176,0.9122807017543859,19.075310021420957,22.247417887525923,1.1046328010160948,3.4825624609036763,0.0537061618573833
HR-/HER2+,spatial_k4_bio,spatial_k4_bio,57,7.586168777842834,6.714640487973627,9.664168942812802,5.818905958496906,0.8771929824561403,19.04213695258742,22.591040096252996,1.124629517211502,3.5112519150825747,0.051003606568218014
HR-/HER2+,radial_bio_k8,Radial-bio k=8,57,7.634039964543822,6.585373949152792,9.565193017560475,5.80418759905988,0.8771929824561403,21.493389526681838,24.7373705907111,1.0988156839024708,3.4911981822766522,0.053273742050138
HR-/HER2+,radial_geo_k8,radial_geo_k8,57,8.020475742102825,7.248097049108337,10.0665899138632,6.37448425811466,0.8245614035087719,18.87219974569354,22.66671367782623,1.104187526261272,3.4968294965249,0.05201353700427432
