model,model_display,n,mc_mean_ftv_mae_ml,mc_median_ftv_mae_ml,mc_sample_abs_err_ml,crps,raw_coverage90,raw_width90_ml,conformal_width90_ml,mc_swd_mm,mc_chamfer_mm,mc_dice
radial_bio_k8,Radial-bio k=8,758,5.516595010334665,4.747747588241338,7.623717690080556,3.951583008526115,0.8720316622691293,20.05102569374956,23.29083844981698,1.17658460539374,3.457235983089,0.052270399828367155
hybrid_a50_bio_k8,Hybrid-bio k=8,758,5.564438118856992,4.786559334736832,7.685618913715664,3.997603355081031,0.8773087071240105,19.20554737637605,22.37626217460157,1.171654048819817,3.4485967307112135,0.05283220945373266
radial_bio_k16,radial_bio_k16,758,5.610258188821259,4.946975690509836,7.868877523481452,4.133961453867589,0.8773087071240105,20.626376410213652,24.0101173964475,1.1799702341224017,3.4635427690973297,0.05182657642368598
spatial_k4_bio,spatial_k4_bio,758,5.667207681929663,4.819712609400848,7.76608886772632,4.014118247373909,0.8680738786279684,19.502741091749517,23.052570817141145,1.1890661105080353,3.4663773052532245,0.05170037003091468
radial_geo_k8,radial_geo_k8,758,5.705591236054635,4.969164907292188,7.8568273133072815,4.126256730429873,0.8654353562005277,19.520570987151405,23.313076517868957,1.1752914079007744,3.460296847861558,0.051874900828870266
hybrid_a75_bio_k8,hybrid_a75_bio_k8,758,5.842838557894876,4.908238115054078,7.838038803115676,4.09920485740847,0.8680738786279684,19.65628709612354,22.997578835683214,1.1757560231087594,3.452225434552778,0.05269030261515128
radial_bio_k4,radial_bio_k4,758,5.986775798803739,5.06834649476372,8.20969733019829,4.236079501184249,0.8786279683377308,21.10392330769618,24.25265827276087,1.1742241168907688,3.4613569233744976,0.05201894510244282
radial_k8,Radial k=8,758,6.253399260964811,5.21693883168717,8.507812903493397,4.38302679101223,0.8641160949868074,21.06271553411041,26.01427251189501,1.1710841816262707,3.450284547268825,0.0523479042189251
no_edges,No edges,758,6.587554317422304,5.374250848335319,8.835067889412644,4.562527789733809,0.8707124010554089,22.87164254432042,26.497081845610953,1.2093851979998402,3.4913500545833305,0.0514596203168209
feature_volume_k8,feature_volume_k8,758,7.2292171888102095,5.7999573884642075,9.555214834992725,4.913508050365263,0.8733509234828496,24.063235893151074,27.335974462451908,1.1835990653424855,3.462637955632112,0.05197524143139641
bio_ftv010_alive000,bio_ftv010_alive000,758,7.305523685605937,6.026381365961727,9.98305509428971,5.145158073161813,0.8746701846965699,23.958590066719648,26.923149448704347,1.2143383627789202,3.4984039248427186,0.0509831409775646
hybrid_a50_k8,hybrid_a50_k8,758,7.347190196189511,5.878789026701591,9.859513822038492,4.9970522393177195,0.8641160949868074,23.997577448089356,28.975359151561946,1.1984424048650657,3.4775572098269927,0.051717632877461416
feature_all_k8,feature_all_k8,758,7.353518632979634,5.841835994816913,9.801670833347778,4.986728785074921,0.8733509234828496,24.021990978893978,28.195118207889568,1.17681178977119,3.4590726870926938,0.05244665552247292
hybrid_a25_k8,hybrid_a25_k8,758,7.363392623053354,5.856603655528775,9.699622156348786,4.976534752332581,0.8641160949868074,24.208797288895962,28.55490791221522,1.1897439454125527,3.469011229099657,0.051520523791477126
hybrid_a75_k8,hybrid_a75_k8,758,7.425659194888199,5.943018253617224,9.715394665844135,5.044135890965038,0.8641160949868074,24.260995917223138,30.131579774701056,1.2041977835916615,3.4804934771165583,0.051768445834561166
feature_pe_ser_k8,feature_pe_ser_k8,758,7.47450986805927,5.935895378069245,9.820767724946599,5.051769619067132,0.8601583113456465,24.755907670111036,29.27782881702543,1.1720968957934466,3.4510860662314746,0.05235141503634897
spatial_k16,spatial_k16,758,7.481852188188009,6.1373749610717505,10.125691671819038,5.190192100126579,0.8799472295514512,25.124960826248092,28.567279572418613,1.20224428199885,3.47771598309237,0.05147590260311412
bio_ftv010_alive002,bio_ftv010_alive002,758,7.525430432199403,6.123037849698579,10.117468693811897,5.186175190825248,0.8825857519788918,24.809935512550197,29.138244730142745,1.2053860771385356,3.4851331822597547,0.05142947251765349
spatial_k4,spatial_k4,758,7.5309668608712945,5.931526207604001,9.805792623901958,5.038074576398385,0.8641160949868074,24.54330058847449,30.22086855121253,1.2088322335603345,3.486281572452957,0.05142078952421227
bio_ftv020_alive005,Endpoint-calibrated,758,7.608714231759333,6.080481227480389,10.032045230720366,5.156204494159763,0.8759894459102903,24.423730249919142,27.948916634989093,1.20739733271003,3.4851397698441113,0.051402740422183985
endpoint_full_k8,endpoint_full_k8,758,7.625803710271027,6.092661614124194,9.922642668020963,5.172210584605434,0.8720316622691293,24.66303452901666,29.20230187695242,1.2038049112322864,3.484090588283696,0.05133572086007341
original_graph,Original graph,758,15.261940008902892,10.6942633736246,18.8090106050642,8.354038658331318,0.7664907651715039,56.87184068818678,59.51459803718567,1.320410896602223,3.656107384150341,0.04737038733276246
