model_tag,model_label,bucket,gate,metric,value,lower_bound,upper_bound,pass
bio_ftv020_alive005,High FTV + high alive,T0->T3,det_bias_centered,det_ftv_bias_ml_mean,-1.7340523502458325,-4.0,1.0,True
bio_ftv020_alive005,High FTV + high alive,T0->T3,mc_mean_mae_beats_old_baseline,mc_mean_ftv_mae_ml_mean,7.608714231759333,-inf,15.261940008902894,True
bio_ftv020_alive005,High FTV + high alive,T0->T3,raw_coverage_improves,coverage90_ftv_raw_mean,0.8759894459102903,0.7664907651715039,inf,True
bio_ftv020_alive005,High FTV + high alive,T0->T3,conformal_width_shrinks,ftv_conformal_width90_ml_mean,27.948916634989093,-inf,59.51459803718567,True
bio_ftv020_alive005,High FTV + high alive,T0->T3,alive_mc_error_below_30,alive_count_abs_err_mc_mean_mean,2.6918494393139842,-inf,30.0,True
bio_ftv020_alive005,High FTV + high alive,T0->T3,swd_not_materially_worse,swd_mm_mc_mean_mean,1.20739733271003,-inf,1.570410896602223,True
bio_ftv020_alive005,High FTV + high alive,T0->T3,chamfer_not_materially_worse,chamfer_mm_mc_mean_mean,3.4851397698441113,-inf,4.15610738415034,True
bio_ftv020_alive005,High FTV + high alive,T0->T3,dice_not_materially_worse,dice_mc_mean_mean,0.051402740422183985,0.02737038733276247,inf,True
bio_ftv010_alive000,FTV-only ablation,T0->T3,det_bias_centered,det_ftv_bias_ml_mean,-1.505626845216242,-4.0,1.0,True
bio_ftv010_alive000,FTV-only ablation,T0->T3,mc_mean_mae_beats_old_baseline,mc_mean_ftv_mae_ml_mean,7.305523685605937,-inf,15.261940008902894,True
bio_ftv010_alive000,FTV-only ablation,T0->T3,raw_coverage_improves,coverage90_ftv_raw_mean,0.8746701846965699,0.7664907651715039,inf,True
bio_ftv010_alive000,FTV-only ablation,T0->T3,conformal_width_shrinks,ftv_conformal_width90_ml_mean,26.923149448704347,-inf,59.51459803718567,True
bio_ftv010_alive000,FTV-only ablation,T0->T3,alive_mc_error_below_30,alive_count_abs_err_mc_mean_mean,7.004911156002638,-inf,30.0,True
bio_ftv010_alive000,FTV-only ablation,T0->T3,swd_not_materially_worse,swd_mm_mc_mean_mean,1.2143383627789202,-inf,1.570410896602223,True
bio_ftv010_alive000,FTV-only ablation,T0->T3,chamfer_not_materially_worse,chamfer_mm_mc_mean_mean,3.498403924842719,-inf,4.15610738415034,True
bio_ftv010_alive000,FTV-only ablation,T0->T3,dice_not_materially_worse,dice_mc_mean_mean,0.0509831409775646,0.02737038733276247,inf,True
bio_ftv010_alive002,Medium FTV + medium alive,T0->T3,det_bias_centered,det_ftv_bias_ml_mean,-1.4983617703004475,-4.0,1.0,True
bio_ftv010_alive002,Medium FTV + medium alive,T0->T3,mc_mean_mae_beats_old_baseline,mc_mean_ftv_mae_ml_mean,7.5254304321994026,-inf,15.261940008902894,True
bio_ftv010_alive002,Medium FTV + medium alive,T0->T3,raw_coverage_improves,coverage90_ftv_raw_mean,0.8825857519788918,0.7664907651715039,inf,True
bio_ftv010_alive002,Medium FTV + medium alive,T0->T3,conformal_width_shrinks,ftv_conformal_width90_ml_mean,29.138244730142745,-inf,59.51459803718567,True
bio_ftv010_alive002,Medium FTV + medium alive,T0->T3,alive_mc_error_below_30,alive_count_abs_err_mc_mean_mean,2.703557882585752,-inf,30.0,True
bio_ftv010_alive002,Medium FTV + medium alive,T0->T3,swd_not_materially_worse,swd_mm_mc_mean_mean,1.2053860771385356,-inf,1.570410896602223,True
bio_ftv010_alive002,Medium FTV + medium alive,T0->T3,chamfer_not_materially_worse,chamfer_mm_mc_mean_mean,3.4851331822597547,-inf,4.15610738415034,True
bio_ftv010_alive002,Medium FTV + medium alive,T0->T3,dice_not_materially_worse,dice_mc_mean_mean,0.05142947251765349,0.02737038733276247,inf,True
